placeholder_id,caminho,dominio,modulo,tipo,prioridade,funcao_esperada,especificacao_necessaria,dependencias,owner_necessario,testes_necessarios,criterios_de_aceite,riscos,recomendacao,confianca,status,aprovado_para_gate_5
15,CODEOWNERS,FUNDAÇÃO DO WORKSPACE,CODEOWNERS,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
16,CONTRIBUTING.md,FUNDAÇÃO DO WORKSPACE,CONTRIBUTING.md,A,P3,Módulo de P3 classificado como A.,NAO,Infraestrutura,Tech Lead / Arquitetura,NAO,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,DOCUMENTAR_COM_DADOS_REAIS,ALTA,P3_BACKLOG,FALSE
17,LICENSE.md,FUNDAÇÃO DO WORKSPACE,LICENSE.md,A,P3,Módulo de P3 classificado como A.,NAO,Infraestrutura,Tech Lead / Arquitetura,NAO,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,DOCUMENTAR_COM_DADOS_REAIS,ALTA,P3_BACKLOG,FALSE
18,Makefile,FUNDAÇÃO DO WORKSPACE,Makefile,B,P1,Módulo de P1 classificado como B.,NAO,Infraestrutura,Tech Lead / Arquitetura,NAO,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,CONFIGURAR_APOS_MAPEAR_MODULO,ALTA,P1_SPEC_REQUIRED,FALSE
20,SECURITY.md,FUNDAÇÃO DO WORKSPACE,SECURITY.md,A,P0,Módulo de P0 classificado como A.,NAO,Infraestrutura,Tech Lead / Arquitetura,NAO,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,DOCUMENTAR_COM_DADOS_REAIS,ALTA,P3_BACKLOG,FALSE
21,SUPPORT.md,FUNDAÇÃO DO WORKSPACE,SUPPORT.md,A,P3,Módulo de P3 classificado como A.,NAO,Infraestrutura,Tech Lead / Arquitetura,NAO,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,DOCUMENTAR_COM_DADOS_REAIS,ALTA,P3_BACKLOG,FALSE
22,Taskfile.yml,FUNDAÇÃO DO WORKSPACE,Taskfile.yml,B,P1,Módulo de P1 classificado como B.,NAO,Infraestrutura,Tech Lead / Arquitetura,NAO,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
36,03-channels/regenera-channel-android/.tool-versions,CANAIS,03-channels/regenera-channel-android,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
39,03-channels/regenera-channel-android/CODEOWNERS,CANAIS,03-channels/regenera-channel-android,C,P1,Módulo de P1 classificado como C.,SIM,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,IMPLEMENTAR_COM_ESPECIFICACAO,ALTA,P1_SPEC_REQUIRED,FALSE
355,03-channels/regenera-channel-ios/.tool-versions,CANAIS,03-channels/regenera-channel-ios,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
367,03-channels/regenera-channel-ios/CODEOWNERS,CANAIS,03-channels/regenera-channel-ios,C,P1,Módulo de P1 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
603,03-channels/regenera-channel-partner-portal/.tool-versions,CANAIS,03-channels/regenera-channel-partner-portal,C,P3,Módulo de P3 classificado como C.,NAO,Componente principal do domínio,Tech Lead / Arquitetura,SIM,Passar nos testes unitários e de integração,FALHA_NA_IMPLANTACAO,MANTER_MINIMO_INTENCIONAL,ALTA,INTENTIONAL_MINIMAL_FILE,FALSE
