placeholder_id,caminho,classificacao_anterior,classificacao_corrigida,tipo,prioridade,placeholder_confirmado,intencionalmente_minimo,funcao_arquitetural,dominio,consumidores,contratos,invariantes,dependencias,contexto_ausente,owner_necessario,requisitos_de_seguranca,requisitos_de_observabilidade,testes_necessarios,criterios_de_aceite,relacao_com_conflito,relacao_com_source_material,recomendacao,confianca,status,aprovado_para_gate_5
15,governance/release/repository-root/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de FUNDAÇÃO DO WORKSPACE,FUNDAÇÃO DO WORKSPACE,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
16,governance/release/repository-root/CONTRIBUTING.md,A,A,A,P3,SIM,NAO,Componente de FUNDAÇÃO DO WORKSPACE,FUNDAÇÃO DO WORKSPACE,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,NAO,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
17,governance/release/repository-root/LICENSE.md,A,A,A,P3,SIM,NAO,Componente de FUNDAÇÃO DO WORKSPACE,FUNDAÇÃO DO WORKSPACE,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,NAO,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
18,governance/release/repository-root/Makefile,B,C,C,P1,SIM,NAO,Componente de FUNDAÇÃO DO WORKSPACE,FUNDAÇÃO DO WORKSPACE,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
20,governance/release/repository-root/SECURITY.md,A,A,A,P0,SIM,NAO,Componente de FUNDAÇÃO DO WORKSPACE,FUNDAÇÃO DO WORKSPACE,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,NAO,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
21,governance/release/repository-root/SUPPORT.md,A,A,A,P3,SIM,NAO,Componente de FUNDAÇÃO DO WORKSPACE,FUNDAÇÃO DO WORKSPACE,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,NAO,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_MISSING_CONTEXT,FALSE
22,governance/release/repository-root/Taskfile.yml,B,C,C,P1,SIM,NAO,Componente de FUNDAÇÃO DO WORKSPACE,FUNDAÇÃO DO WORKSPACE,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
36,apps/android/.tool-versions,C,C,C,P1,SIM,NAO,Componente de CANAIS,CANAIS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
39,apps/android/CODEOWNERS,C,C,C,P1,SIM,NAO,Componente de CANAIS,CANAIS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
355,apps/ios/.tool-versions,C,C,C,P1,SIM,NAO,Componente de CANAIS,CANAIS,A Mapear,A Mapear,A Mapear,A Mapear,"Tudo (regras, integrações, contratos)",Arquitetura/Tech Lead,ALTA,ALTA,SIM,Cobertura 100% e aprovação de PR,NAO,NAO,NECESSITA_ANALISE_ADICIONAL,ALTA,BLOCKED_DOMAIN_DECISION,FALSE
