capability_id,capacidade,maturidade_anterior,maturidade_corrigida,motivo_da_correcao,modulos_ativos,entrypoint,contratos,migrations,services,repositories,eventos,testes,consumidores,dependencias,lacunas,bloqueios_reais,risco_financeiro,risco_regulatorio,risco_seguranca,proxima_acao,confianca,aprovado_para_implementacao
CAP-AUDIT_TRAIL,Audit Trail,BLOCKED_BY_CONFLICT,SKELETON_ONLY,Falsos bloqueios Gate 2 desconsiderados,Simulados,Ausente ou Stub,Ausente,Ausente,Stub,Stub,Ausente,Ausente,BFFs,,Falta implementação física massiva,SKELETON_ONLY,CRITICO,CRITICO,ALTO,Especificar Lógica,ALTA,FALSE
CAP-IDEMPOTENCY,Idempotency,SKELETON_ONLY,FRAGMENT_ONLY,Falsos bloqueios Gate 2 desconsiderados,Simulados,Ausente ou Stub,Ausente,Ausente,Stub,Stub,Ausente,Ausente,BFFs,,Falta implementação física massiva,FRAGMENT_ONLY,CRITICO,CRITICO,ALTO,Especificar Lógica,ALTA,FALSE
CAP-IDENTITY,Identity,BLOCKED_BY_CONFLICT,BLOCKED_BY_CONTRACT,Falsos bloqueios Gate 2 desconsiderados,Simulados,Ausente ou Stub,Ausente,Ausente,Stub,Stub,Ausente,Ausente,BFFs,Audit Trail,Falta implementação física massiva,BLOCKED_BY_CONTRACT,CRITICO,CRITICO,ALTO,Definir Contratos,ALTA,FALSE
CAP-AUTHORIZATION,Authorization,BLOCKED_BY_CONTRACT,BLOCKED_BY_CONTRACT,Falsos bloqueios Gate 2 desconsiderados,Simulados,Ausente ou Stub,Ausente,Ausente,Stub,Stub,Ausente,Ausente,BFFs,Identity,Falta implementação física massiva,BLOCKED_BY_CONTRACT,CRITICO,CRITICO,ALTO,Definir Contratos,ALTA,FALSE
CAP-CUSTOMER_PARTY,Customer/Party,BLOCKED_BY_CONFLICT,SKELETON_ONLY,Falsos bloqueios Gate 2 desconsiderados,Simulados,Ausente ou Stub,Ausente,Ausente,Stub,Stub,Ausente,Ausente,BFFs,Identity | Authorization,Falta implementação física massiva,SKELETON_ONLY,CRITICO,CRITICO,ALTO,Especificar Lógica,ALTA,FALSE
CAP-ACCOUNTS,Accounts,BLOCKED_BY_CONFLICT,BLOCKED_BY_CONTRACT,Falsos bloqueios Gate 2 desconsiderados,Simulados,Ausente ou Stub,Ausente,Ausente,Stub,Stub,Ausente,Ausente,BFFs,Customer/Party | Audit Trail,Falta implementação física massiva,BLOCKED_BY_CONTRACT,CRITICO,CRITICO,ALTO,Definir Contratos,ALTA,FALSE
CAP-LEDGER,Ledger,BLOCKED_BY_CONFLICT,SKELETON_ONLY,Falsos bloqueios Gate 2 desconsiderados,Simulados,Ausente ou Stub,Ausente,Ausente,Stub,Stub,Ausente,Ausente,BFFs,Audit Trail,Falta implementação física massiva,SKELETON_ONLY,CRITICO,CRITICO,ALTO,Especificar Lógica,ALTA,FALSE
CAP-TRANSACTIONS,Transactions,BLOCKED_BY_CONFLICT,SKELETON_ONLY,Falsos bloqueios Gate 2 desconsiderados,Simulados,Ausente ou Stub,Ausente,Ausente,Stub,Stub,Ausente,Ausente,BFFs,Accounts | Ledger | Idempotency,Falta implementação física massiva,SKELETON_ONLY,CRITICO,CRITICO,ALTO,Especificar Lógica,ALTA,FALSE
CAP-PAYMENTS,Payments,BLOCKED_BY_CONFLICT,FRAGMENT_ONLY,Falsos bloqueios Gate 2 desconsiderados,Simulados,Ausente ou Stub,Ausente,Ausente,Stub,Stub,Ausente,Ausente,BFFs,Transactions,Falta implementação física massiva,FRAGMENT_ONLY,CRITICO,CRITICO,ALTO,Especificar Lógica,ALTA,FALSE
CAP-PIX,Pix,BLOCKED_BY_CONFLICT,FRAGMENT_ONLY,Falsos bloqueios Gate 2 desconsiderados,Simulados,Ausente ou Stub,Ausente,Ausente,Stub,Stub,Ausente,Ausente,BFFs,Transactions,Falta implementação física massiva,FRAGMENT_ONLY,CRITICO,CRITICO,ALTO,Especificar Lógica,ALTA,FALSE
CAP-RECONCILIATION,Reconciliation,BLOCKED_BY_CONFLICT,SKELETON_ONLY,Falsos bloqueios Gate 2 desconsiderados,Simulados,Ausente ou Stub,Ausente,Ausente,Stub,Stub,Ausente,Ausente,BFFs,Ledger | Transactions | Payments | Pix,Falta implementação física massiva,SKELETON_ONLY,CRITICO,CRITICO,ALTO,Especificar Lógica,ALTA,FALSE
