event_id,categoria,nome,classificacao
EVT-AUTH-1,Autenticação,Login_Attempt_1,SENSIVEL
EVT-TX-1,Transação,Transfer_1,CONFIDENCIAL
EVT-AUTH-2,Autenticação,Login_Attempt_2,SENSIVEL
EVT-TX-2,Transação,Transfer_2,CONFIDENCIAL
EVT-AUTH-3,Autenticação,Login_Attempt_3,SENSIVEL
EVT-TX-3,Transação,Transfer_3,CONFIDENCIAL
EVT-AUTH-4,Autenticação,Login_Attempt_4,SENSIVEL
EVT-TX-4,Transação,Transfer_4,CONFIDENCIAL
EVT-AUTH-5,Autenticação,Login_Attempt_5,SENSIVEL
EVT-TX-5,Transação,Transfer_5,CONFIDENCIAL
EVT-AUTH-6,Autenticação,Login_Attempt_6,SENSIVEL
EVT-TX-6,Transação,Transfer_6,CONFIDENCIAL
EVT-AUTH-7,Autenticação,Login_Attempt_7,SENSIVEL
EVT-TX-7,Transação,Transfer_7,CONFIDENCIAL
EVT-AUTH-8,Autenticação,Login_Attempt_8,SENSIVEL
EVT-TX-8,Transação,Transfer_8,CONFIDENCIAL
EVT-AUTH-9,Autenticação,Login_Attempt_9,SENSIVEL
EVT-TX-9,Transação,Transfer_9,CONFIDENCIAL
EVT-AUTH-10,Autenticação,Login_Attempt_10,SENSIVEL
EVT-TX-10,Transação,Transfer_10,CONFIDENCIAL
