capability_id,capacidade,dominio,modulos_ativos,contratos,migrations,testes,consumidores,dependencias,maturidade,lacunas,conflito_relacionado,risco_financeiro,risco_regulatorio,risco_operacional,prioridade,proxima_acao,especificacao_necessaria,aprovacao_humana,status,aprovado_para_implementacao
CAP-IDENTITY,Identity,Identity,03-channels | 05-core-banking | 11-security | 04-bffs | 02-contracts,10,2,22,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,ALTO,ALTO,ALTO,P0,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-CUSTOMER_PARTY,Customer/Party,Customer/Party,03-channels | 05-core-banking | 04-bffs | 02-contracts | 06-risk-control,23,11,13,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,ALTO,ALTO,ALTO,P0,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-ACCOUNTS,Accounts,Accounts,03-channels | 05-core-banking | 04-bffs | 02-contracts | 06-risk-control,17,13,19,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,ALTO,ALTO,ALTO,P0,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-LEDGER,Ledger,Ledger,03-channels | 05-core-banking | 04-bffs | 02-contracts | 06-risk-control,5,13,13,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,ALTO,ALTO,ALTO,P0,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-TRANSACTIONS,Transactions,Transactions,03-channels | 05-core-banking | 04-bffs | 02-contracts | 06-risk-control,11,0,9,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Nenhuma detectada,SIM,ALTO,ALTO,ALTO,P0,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-PAYMENTS,Payments,Payments,03-channels | 07-integrations | 05-core-banking | 11-security | 04-bffs | 08-iso20022 | 02-contracts | 09-data-platform | 06-risk-control,105,1,23,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,ALTO,ALTO,ALTO,P0,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-PIX,Pix,Pix,03-channels | 07-integrations | 05-core-banking | 04-bffs | 08-iso20022 | 02-contracts | 06-risk-control,18,0,23,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,ALTO,ALTO,ALTO,P0,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-CARDS,Cards,Cards,03-channels | 07-integrations | 05-core-banking | 04-bffs | 02-contracts | 06-risk-control,15,0,33,A Mapear,A Mapear,BLOCKED_BY_CONFLICT,Sem Observabilidade explícita,SIM,MEDIO,MEDIO,BAIXO,P2,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-CREDIT,Credit,Credit,03-channels | 02-contracts | 05-core-banking | 06-risk-control,9,0,24,A Mapear,A Mapear,PARTIAL_IMPLEMENTATION,Sem Observabilidade explícita,NAO,MEDIO,MEDIO,BAIXO,P2,Completar Implementação,SIM,SIM,BACKLOG,FALSE
CAP-INVESTMENTS,Investments,Investments,03-channels | 02-contracts | 05-core-banking,4,0,6,A Mapear,A Mapear,PARTIAL_IMPLEMENTATION,Sem Observabilidade explícita,NAO,MEDIO,MEDIO,BAIXO,P2,Completar Implementação,SIM,SIM,BACKLOG,FALSE
